id,code_1c,article,name,brand,остаток,категория
10821,00043559,3415-30,Лента мерная 30м с фиберглассовым полотном STAYER,STAYER,1.000,Измерительный инструмент
10823,00038297,34185-50,"Лента мерная 50м KRAFTOOL 50 м, Геодезическая стальная",KRAFTOOL,1.000,Измерительный инструмент
10824,00034616,3415-50,Лента мерная 50м с фиберглассовым полотном STAYER,STAYER,1.000,Измерительный инструмент
40618,00035558,12240-50-200,"Лента сигнальная  50мм х 200м  красно-белый,  ЗУБР Мастер",ЗУБР,1.000,"Хозтовары, сад, огород"
40677,00034127,2182-13,Лом строительный 1300мм 25 мм СИБИН,СИБИН,1.000,"Хозтовары, сад, огород"
40678,00021908,2182-15,Лом строительный 1500мм 25 мм СИБИН,СИБИН,1.000,"Хозтовары, сад, огород"
40680,00045694,2186-1.5,Лом строительный 1500мм 30 мм ЗУБР,ЗУБР,1.000,"Хозтовары, сад, огород"
40820,00043142,20810,Мачете 450/650мм GRINDA PRO-line PM 450,GRINDA,1.000,"Хозтовары, сад, огород"
10882,374886,59847,Мегаомметр ЗУБР MM-5000 цифровой ПРОФЕССИОНАЛ,ЗУБР,1.000,Измерительный инструмент
7848,00004243,750443,Мешок нейлоновый для пыли (OLD 710015) 4 ШТ WDE120,,1.000,Оснастка Hitachi
11060,00014878,,Набор принадлежностей ПК-1,,1.000,Измерительный инструмент
24576,0110000472,29-0131,Набор термоусадочных трубок №1 ТУТнг 305шт черная Rexant,REXANT,1.000,Электрика и освещение
24585,0110000475,29-0134,Набор термоусадочных трубок №4 ТУТнг 7 цветов Rexant,REXANT,1.000,Электрика и освещение
26858,00038884,490965,"Набор шлифовальных дисков KWB 180мм, 15предметов",,1.000,На модерацию
18268,00036107,3521-H4_z03,"Набор щеток дисковых для дрели, витая стальная латунированная проволока 0,3мм, 4 шт ЗУБР ""Профессион",ЗУБР,1.000,На модерацию
18269,00042685,3521-H5_z03,"Набор щеток дисковых для дрели, витая стальная латунированная проволока 0,3мм, 5 шт ЗУБР ""Профессион",ЗУБР,1.000,На модерацию
11093,00000348,4325-Н20_z01,"Набор щупов автомоб. 0,05-1,00мм 20шт Зубр""МАСТЕР""",ЗУБР,1.000,Измерительный инструмент
36316,374841,11517,"Наколенники защитные KRAFTOOL SOLID гелевая вставка, объемная противоскол накладка",KRAFTOOL,1.000,На модерацию
36317,0110000580,11516,"Наколенники защитные KRAFTOOL STABIL для легко повреждаемых поверхностей, гелевая вставка",KRAFTOOL,1.000,На модерацию
